order_detail_id,order_id,product_id,quantity,discount
1,1,162,3,0.1
2,1,172,1,0.08
3,2,11,5,0.12
4,2,116,4,0.08
5,3,159,3,0.09
6,3,12,1,0.29
7,4,124,1,0.14
8,5,19,4,0.26
9,5,126,1,0.26
10,6,182,3,0.11
11,6,163,3,0.28
12,7,185,3,0.27
13,7,133,2,0.0
14,7,185,1,0.17
15,8,138,2,0.3
16,9,117,4,0.18
17,10,158,4,0.03
18,11,100,1,0.21
19,11,16,4,0.14
20,11,3,5,0.02
21,12,38,3,0.25
22,12,94,1,0.28
23,13,62,2,0.1
24,14,94,5,0.04
25,14,187,3,0.29
26,15,52,3,0.28
27,16,135,4,0.16
28,16,161,4,0.22
29,17,98,4,0.05
30,17,115,2,0.03
31,18,58,4,0.29
32,18,120,4,0.01
33,18,89,4,0.23
34,19,35,5,0.15
35,19,135,2,0.08
36,20,158,4,0.07
37,20,114,5,0.07
38,21,29,1,0.01
39,21,11,1,0.24
40,21,74,3,0.26
41,22,43,3,0.22
42,22,168,2,0.04
43,22,20,2,0.25
44,23,40,3,0.28
45,23,125,5,0.04
46,24,70,1,0.12
47,25,140,5,0.04
48,26,36,2,0.25
49,26,150,4,0.07
50,26,58,2,0.17
51,27,175,2,0.29
52,28,110,5,0.01
53,28,171,3,0.03
54,29,171,4,0.29
55,29,122,1,0.27
56,30,194,3,0.11
57,30,2,3,0.2
58,30,16,3,0.12
59,31,157,5,0.02
60,31,71,2,0.24
61,32,159,4,0.03
62,32,103,2,0.09
63,32,14,5,0.26
64,33,132,2,0.04
65,33,23,2,0.3
66,34,66,4,0.06
67,34,188,5,0.11
68,34,134,3,0.19
69,35,122,2,0.29
70,35,107,1,0.27
71,36,120,1,0.06
72,37,37,5,0.15
73,37,188,2,0.07
74,38,124,5,0.27
75,39,155,3,0.19
76,39,49,2,0.01
77,39,139,1,0.26
78,40,7,5,0.26
79,41,141,1,0.16
80,41,127,1,0.17
81,42,111,5,0.04
82,43,121,4,0.22
83,43,199,4,0.09
84,43,41,5,0.02
85,44,173,1,0.07
86,44,90,4,0.12
87,44,63,2,0.08
88,45,69,1,0.21
89,45,26,3,0.22
90,46,181,4,0.17
91,46,182,3,0.09
92,46,41,1,0.06
93,47,71,1,0.09
94,47,110,3,0.29
95,47,3,4,0.28
96,48,176,3,0.02
97,48,170,3,0.23
98,48,200,4,0.06
99,49,60,3,0.09
100,49,78,4,0.03
101,49,131,1,0.26
102,50,19,4,0.03
103,50,15,3,0.12
104,51,90,5,0.16
105,51,3,4,0.2
106,52,97,4,0.21
107,52,163,4,0.21
108,53,193,1,0.04
109,54,87,3,0.22
110,54,96,5,0.15
111,54,168,2,0.06
112,55,40,1,0.09
113,55,32,2,0.15
114,56,171,3,0.3
115,57,10,4,0.07
116,57,181,3,0.01
117,57,198,4,0.28
118,58,16,1,0.26
119,58,177,2,0.11
120,58,175,2,0.03
121,59,154,2,0.28
122,59,66,1,0.12
123,60,132,3,0.0
124,60,149,2,0.15
125,61,48,1,0.16
126,62,67,2,0.28
127,62,58,5,0.03
128,63,111,4,0.11
129,63,143,5,0.0
130,63,157,5,0.08
131,64,63,1,0.28
132,64,192,2,0.25
133,64,15,4,0.0
134,65,75,3,0.1
135,66,44,3,0.05
136,66,62,2,0.17
137,66,133,3,0.09
138,67,53,1,0.19
139,67,122,1,0.26
140,67,146,3,0.14
141,68,8,2,0.2
142,69,115,5,0.06
143,70,88,4,0.22
144,70,182,1,0.0
145,71,32,1,0.11
146,71,24,1,0.04
147,71,62,4,0.05
148,72,187,4,0.04
149,72,85,3,0.01
150,72,19,1,0.23
151,73,149,4,0.21
152,74,196,1,0.06
153,74,51,5,0.04
154,74,176,4,0.26
155,75,180,2,0.17
156,75,132,3,0.28
157,76,113,1,0.12
158,77,19,4,0.21
159,78,46,2,0.12
160,79,200,1,0.13
161,79,43,4,0.21
162,80,79,4,0.15
163,81,89,1,0.13
164,82,19,2,0.16
165,82,180,3,0.11
166,82,87,2,0.16
167,83,54,3,0.03
168,83,148,4,0.03
169,83,39,2,0.0
170,84,166,2,0.25
171,84,67,1,0.03
172,85,114,3,0.24
173,86,113,4,0.07
174,87,197,2,0.14
175,87,68,5,0.25
176,87,189,4,0.25
177,88,105,5,0.09
178,88,112,1,0.3
179,89,137,1,0.16
180,90,15,5,0.13
181,90,53,3,0.28
182,91,74,4,0.23
183,91,42,2,0.08
184,92,38,1,0.2
185,92,90,2,0.16
186,93,18,3,0.17
187,94,198,3,0.08
188,94,68,1,0.13
189,94,72,4,0.26
190,95,143,4,0.18
191,95,138,2,0.17
192,96,185,3,0.0
193,96,49,4,0.06
194,96,132,3,0.12
195,97,142,2,0.2
196,97,65,4,0.18
197,98,53,5,0.25
198,99,133,5,0.04
199,99,61,2,0.16
200,99,164,1,0.15
201,100,17,1,0.24
202,101,68,1,0.18
203,101,90,1,0.01
204,101,187,1,0.16
205,102,67,4,0.14
206,103,3,1,0.02
207,104,60,5,0.16
208,104,147,2,0.03
209,104,165,4,0.11
210,105,86,1,0.14
211,105,81,3,0.28
212,106,198,3,0.26
213,106,197,1,0.0
214,106,83,4,0.25
215,107,166,1,0.19
216,107,78,5,0.13
217,108,200,1,0.14
218,108,134,3,0.26
219,108,62,2,0.25
220,109,49,1,0.06
221,110,32,3,0.27
222,110,91,4,0.03
223,110,114,2,0.18
224,111,36,4,0.29
225,111,95,2,0.12
226,112,73,2,0.15
227,112,114,5,0.2
228,113,132,5,0.13
229,114,161,5,0.12
230,114,173,3,0.05
231,114,79,1,0.22
232,115,11,5,0.03
233,115,13,5,0.05
234,115,88,4,0.02
