order_id,customer_id,order_date,region
1,490,2024-04-25,West
2,72,2025-01-30,East
3,413,2025-07-17,East
4,68,2025-03-31,South
5,281,2024-11-24,East
6,278,2025-05-15,West
7,328,2025-01-19,East
8,80,2024-07-22,North
9,177,2025-03-13,West
10,315,2024-04-12,East
11,387,2023-12-13,West
12,58,2024-07-20,West
13,306,2024-06-14,North
14,267,2023-11-08,North
15,342,2024-07-29,West
16,26,2024-05-26,North
17,435,2023-09-25,South
18,401,2024-07-29,East
19,166,2025-05-14,West
20,314,2025-01-02,East
21,381,2024-07-26,West
22,264,2025-06-24,East
23,306,2023-09-09,North
24,300,2024-10-16,North
25,166,2025-03-02,North
26,403,2024-09-25,North
27,463,2023-08-29,West
28,22,2025-01-23,West
29,206,2025-07-10,East
30,360,2024-08-25,North
31,251,2024-05-16,West
32,244,2025-01-03,West
33,448,2024-07-27,North
34,488,2025-03-25,East
35,332,2024-03-09,North
36,493,2024-04-01,North
37,300,2023-09-28,West
38,205,2024-11-16,South
39,371,2024-06-07,West
40,183,2025-04-11,West
41,103,2023-08-28,North
42,74,2025-01-04,North
43,7,2024-06-03,East
44,66,2023-08-15,East
45,306,2024-09-08,North
46,123,2023-11-28,West
47,368,2025-02-22,North
48,54,2024-03-13,South
49,279,2023-11-24,East
50,480,2024-08-10,East
51,26,2023-11-04,North
52,331,2024-07-30,West
53,212,2023-12-25,East
54,305,2024-09-27,North
55,213,2025-04-15,North
56,182,2023-09-09,East
57,391,2023-10-14,West
58,83,2024-07-07,West
59,298,2024-05-02,South
60,319,2024-04-26,West
61,220,2024-12-05,South
62,310,2025-02-23,West
63,117,2024-11-18,South
64,118,2024-11-20,North
65,487,2024-08-03,North
66,87,2025-02-22,North
67,5,2024-04-15,East
68,382,2023-10-22,North
69,437,2024-09-09,West
70,140,2023-08-14,South
71,433,2025-01-19,North
72,396,2024-08-16,South
73,56,2024-03-01,West
74,482,2025-06-07,East
75,294,2024-03-23,East
76,407,2025-02-23,South
77,413,2024-03-03,South
78,331,2023-11-14,East
79,70,2025-04-20,West
80,13,2024-07-07,North
81,71,2025-01-26,West
82,102,2024-10-05,East
83,399,2024-02-20,South
84,389,2024-10-23,West
85,383,2024-05-17,North
86,340,2024-03-05,North
87,482,2023-12-28,East
88,123,2023-08-01,North
89,16,2024-02-20,West
90,410,2024-06-16,West
91,93,2024-03-01,East
92,474,2024-04-15,West
93,425,2025-01-17,West
94,23,2023-09-18,East
95,379,2025-06-12,West
96,152,2023-09-05,West
97,15,2025-01-27,South
98,35,2024-01-26,East
99,94,2024-02-14,East
100,91,2024-07-26,North
101,219,2023-12-24,West
102,168,2025-02-19,North
103,283,2024-10-17,East
104,349,2025-05-13,South
105,212,2025-06-16,South
106,74,2025-04-04,North
107,246,2024-01-30,South
108,125,2023-11-19,North
109,180,2025-05-06,East
110,125,2025-05-31,East
111,49,2025-03-01,West
112,61,2025-07-08,South
113,289,2024-11-16,South
114,237,2024-12-18,East
115,446,2024-03-28,West
116,416,2024-10-14,South
117,354,2025-03-08,West
118,331,2025-07-11,South
119,439,2024-07-22,West
120,49,2023-08-29,West
121,430,2023-09-30,South
122,424,2024-10-12,West
123,431,2023-09-18,South
124,301,2023-09-20,East
125,334,2023-12-16,West
126,426,2024-02-26,West
127,207,2024-08-16,East
128,186,2025-04-05,North
129,353,2024-04-15,North
130,288,2024-12-29,West
131,417,2023-08-23,North
132,391,2024-06-11,South
133,302,2025-07-13,North
134,27,2025-04-27,North
135,472,2025-01-11,East
136,58,2024-02-06,South
137,115,2025-01-01,West
138,230,2024-08-22,South
139,476,2025-06-10,North
140,341,2025-02-05,South
141,28,2025-05-18,East
142,330,2024-01-13,North
143,430,2024-07-05,East
144,294,2024-09-14,West
145,449,2025-04-08,East
146,279,2024-08-03,East
147,184,2023-11-15,North
148,234,2023-08-21,West
149,496,2023-11-28,West
150,106,2024-07-15,West
151,115,2024-04-22,East
152,231,2023-11-11,East
153,487,2025-07-13,North
154,293,2023-12-28,East
155,16,2025-06-29,South
156,431,2025-06-28,North
157,224,2024-10-12,North
158,173,2024-01-28,North
159,67,2024-10-30,West
